Start,End,LocationIdentifier,PriorityNumber,PriorityRequests,PriorityServiceEarlyGreen,PriorityServiceExtendedGreen
3/26/2026 6:30,3/26/2026 6:45,7707,4,0,0,0
3/26/2026 6:30,3/26/2026 6:45,7707,5,0,0,0
3/26/2026 6:30,3/26/2026 6:45,7707,6,0,0,0
3/26/2026 6:45,3/26/2026 7:00,7707,3,1,1,0
3/26/2026 6:45,3/26/2026 7:00,7707,4,0,0,0
3/26/2026 6:45,3/26/2026 7:00,7707,5,0,0,0
3/26/2026 6:45,3/26/2026 7:00,7707,6,0,0,0
3/26/2026 7:00,3/26/2026 7:15,7707,3,0,0,0
3/26/2026 7:00,3/26/2026 7:15,7707,4,0,0,0
3/26/2026 7:00,3/26/2026 7:15,7707,5,0,0,0
3/26/2026 7:00,3/26/2026 7:15,7707,6,1,1,0
3/26/2026 7:15,3/26/2026 7:30,7707,3,0,0,0
3/26/2026 7:15,3/26/2026 7:30,7707,4,1,1,0
3/26/2026 7:15,3/26/2026 7:30,7707,5,0,0,0
3/26/2026 7:15,3/26/2026 7:30,7707,6,0,0,0
3/26/2026 7:30,3/26/2026 7:45,7707,3,0,0,0
3/26/2026 7:30,3/26/2026 7:45,7707,4,0,0,0
3/26/2026 7:30,3/26/2026 7:45,7707,5,0,0,0
3/26/2026 7:30,3/26/2026 7:45,7707,6,0,0,0
3/26/2026 7:45,3/26/2026 8:00,7707,3,0,0,0
3/26/2026 7:45,3/26/2026 8:00,7707,4,0,0,0
3/26/2026 7:45,3/26/2026 8:00,7707,5,0,0,0
3/26/2026 7:45,3/26/2026 8:00,7707,6,0,0,0
3/26/2026 8:00,3/26/2026 8:15,7707,3,1,1,0
3/26/2026 8:00,3/26/2026 8:15,7707,4,0,0,0
3/26/2026 8:00,3/26/2026 8:15,7707,5,0,0,0
3/26/2026 8:00,3/26/2026 8:15,7707,6,1,1,0
3/26/2026 8:15,3/26/2026 8:30,7707,3,0,0,0
3/26/2026 8:15,3/26/2026 8:30,7707,4,1,0,0
3/26/2026 8:15,3/26/2026 8:30,7707,5,0,0,0
3/26/2026 8:15,3/26/2026 8:30,7707,6,1,2,0
3/26/2026 8:30,3/26/2026 8:45,7707,3,0,0,0
3/26/2026 8:30,3/26/2026 8:45,7707,4,0,0,0
3/26/2026 8:30,3/26/2026 8:45,7707,5,0,0,0
3/26/2026 8:30,3/26/2026 8:45,7707,6,0,0,0
3/26/2026 8:45,3/26/2026 9:00,7707,3,0,0,0
3/26/2026 8:45,3/26/2026 9:00,7707,4,0,0,0
3/26/2026 8:45,3/26/2026 9:00,7707,5,0,0,0
3/26/2026 8:45,3/26/2026 9:00,7707,6,0,0,0
3/26/2026 9:00,3/26/2026 9:15,7707,3,1,0,0
3/26/2026 9:00,3/26/2026 9:15,7707,4,0,0,0
3/26/2026 9:00,3/26/2026 9:15,7707,5,0,0,0
3/26/2026 9:00,3/26/2026 9:15,7707,6,1,1,0
3/26/2026 9:15,3/26/2026 9:30,7707,3,0,0,0
3/26/2026 9:15,3/26/2026 9:30,7707,4,1,0,0
3/26/2026 9:15,3/26/2026 9:30,7707,5,0,0,0
3/26/2026 9:15,3/26/2026 9:30,7707,6,1,1,0
3/26/2026 9:30,3/26/2026 9:45,7707,3,0,0,0
3/26/2026 9:30,3/26/2026 9:45,7707,4,0,0,0
3/26/2026 9:30,3/26/2026 9:45,7707,5,0,0,0
3/26/2026 9:30,3/26/2026 9:45,7707,6,0,0,0
3/26/2026 9:45,3/26/2026 10:00,7707,3,0,0,0
3/26/2026 9:45,3/26/2026 10:00,7707,4,0,0,0
3/26/2026 9:45,3/26/2026 10:00,7707,5,0,0,0
3/26/2026 9:45,3/26/2026 10:00,7707,6,1,1,0
3/26/2026 10:00,3/26/2026 10:15,7707,3,0,0,0
3/26/2026 10:00,3/26/2026 10:15,7707,4,0,0,0
3/26/2026 10:00,3/26/2026 10:15,7707,5,0,0,0
3/26/2026 10:00,3/26/2026 10:15,7707,6,0,0,0
3/26/2026 10:15,3/26/2026 10:30,7707,3,0,0,0
3/26/2026 10:15,3/26/2026 10:30,7707,4,1,2,0
3/26/2026 10:15,3/26/2026 10:30,7707,5,0,0,0
3/26/2026 10:15,3/26/2026 10:30,7707,6,1,1,0
3/26/2026 10:30,3/26/2026 10:45,7707,3,0,0,0
3/26/2026 10:30,3/26/2026 10:45,7707,4,0,0,0
3/26/2026 10:30,3/26/2026 10:45,7707,5,0,0,0
3/26/2026 10:30,3/26/2026 10:45,7707,6,0,0,0
3/26/2026 10:45,3/26/2026 11:00,7707,3,1,2,0
3/26/2026 10:45,3/26/2026 11:00,7707,4,0,0,0
3/26/2026 10:45,3/26/2026 11:00,7707,5,0,0,0
3/26/2026 10:45,3/26/2026 11:00,7707,6,0,0,0
3/26/2026 11:00,3/26/2026 11:15,7707,3,0,0,0
3/26/2026 11:00,3/26/2026 11:15,7707,4,0,0,0
3/26/2026 11:00,3/26/2026 11:15,7707,5,0,0,0
3/26/2026 11:00,3/26/2026 11:15,7707,6,1,1,0
3/26/2026 11:15,3/26/2026 11:30,7707,3,0,0,0
3/26/2026 11:15,3/26/2026 11:30,7707,4,1,1,0
3/26/2026 11:15,3/26/2026 11:30,7707,5,0,0,0
3/26/2026 11:15,3/26/2026 11:30,7707,6,0,1,0
3/26/2026 11:30,3/26/2026 11:45,7707,3,0,0,0
3/26/2026 11:30,3/26/2026 11:45,7707,4,0,0,0
3/26/2026 11:30,3/26/2026 11:45,7707,5,0,0,0
3/26/2026 11:30,3/26/2026 11:45,7707,6,0,0,0
3/26/2026 11:45,3/26/2026 12:00,7707,3,1,1,0
3/26/2026 11:45,3/26/2026 12:00,7707,4,0,0,0
3/26/2026 11:45,3/26/2026 12:00,7707,5,0,0,0
3/26/2026 11:45,3/26/2026 12:00,7707,6,0,0,0
3/26/2026 12:00,3/26/2026 12:15,7707,3,0,0,0
3/26/2026 12:00,3/26/2026 12:15,7707,4,0,0,0
3/26/2026 12:00,3/26/2026 12:15,7707,5,0,0,0
3/26/2026 12:00,3/26/2026 12:15,7707,6,1,1,0
3/26/2026 12:15,3/26/2026 12:30,7707,3,0,0,0
3/26/2026 12:15,3/26/2026 12:30,7707,4,1,1,0
3/26/2026 12:15,3/26/2026 12:30,7707,5,0,0,0
3/26/2026 12:15,3/26/2026 12:30,7707,6,1,1,0
3/26/2026 12:30,3/26/2026 12:45,7707,3,0,0,0
3/26/2026 12:30,3/26/2026 12:45,7707,4,0,0,0
3/26/2026 12:30,3/26/2026 12:45,7707,5,0,0,0
3/26/2026 12:30,3/26/2026 12:45,7707,6,0,0,0
3/26/2026 12:45,3/26/2026 13:00,7707,3,1,0,0
3/26/2026 12:45,3/26/2026 13:00,7707,4,0,0,0
3/26/2026 12:45,3/26/2026 13:00,7707,5,0,0,0
3/26/2026 12:45,3/26/2026 13:00,7707,6,0,0,0
3/26/2026 13:00,3/26/2026 13:15,7707,3,0,0,0
3/26/2026 13:00,3/26/2026 13:15,7707,4,0,0,0
3/26/2026 13:00,3/26/2026 13:15,7707,5,0,0,0
3/26/2026 13:00,3/26/2026 13:15,7707,6,1,1,0
3/26/2026 13:15,3/26/2026 13:30,7707,3,0,0,0
3/26/2026 13:15,3/26/2026 13:30,7707,4,1,1,0
3/26/2026 13:15,3/26/2026 13:30,7707,5,0,0,0
3/26/2026 13:15,3/26/2026 13:30,7707,6,0,0,0
3/26/2026 13:30,3/26/2026 13:45,7707,3,0,0,0
3/26/2026 13:30,3/26/2026 13:45,7707,4,0,0,0
3/26/2026 13:30,3/26/2026 13:45,7707,5,0,0,0
3/26/2026 13:30,3/26/2026 13:45,7707,6,0,0,0
3/26/2026 13:45,3/26/2026 14:00,7707,3,1,2,0
3/26/2026 13:45,3/26/2026 14:00,7707,4,0,0,0
3/26/2026 13:45,3/26/2026 14:00,7707,5,0,0,0
3/26/2026 13:45,3/26/2026 14:00,7707,6,0,0,0
3/26/2026 14:00,3/26/2026 14:15,7707,3,0,0,0
3/26/2026 14:00,3/26/2026 14:15,7707,4,0,0,0
3/26/2026 14:00,3/26/2026 14:15,7707,5,0,0,0
3/26/2026 14:00,3/26/2026 14:15,7707,6,1,1,0
3/26/2026 14:15,3/26/2026 14:30,7707,3,0,0,0
3/26/2026 14:15,3/26/2026 14:30,7707,4,1,0,0
3/26/2026 14:15,3/26/2026 14:30,7707,5,0,0,0
3/26/2026 14:15,3/26/2026 14:30,7707,6,0,0,0
3/26/2026 14:30,3/26/2026 14:45,7707,3,0,0,0
3/26/2026 14:30,3/26/2026 14:45,7707,4,0,0,0
3/26/2026 14:30,3/26/2026 14:45,7707,5,0,0,0
3/26/2026 14:30,3/26/2026 14:45,7707,6,0,0,0
3/26/2026 14:45,3/26/2026 15:00,7707,3,1,0,0
3/26/2026 14:45,3/26/2026 15:00,7707,4,0,0,0
3/26/2026 14:45,3/26/2026 15:00,7707,5,0,0,0
3/26/2026 14:45,3/26/2026 15:00,7707,6,0,0,0
3/26/2026 15:00,3/26/2026 15:15,7707,3,0,0,0
3/26/2026 15:00,3/26/2026 15:15,7707,4,0,0,0
3/26/2026 15:00,3/26/2026 15:15,7707,5,0,0,0
3/26/2026 15:00,3/26/2026 15:15,7707,6,1,1,0
3/26/2026 15:15,3/26/2026 15:30,7707,3,0,0,0
3/26/2026 15:15,3/26/2026 15:30,7707,4,1,1,0
3/26/2026 15:15,3/26/2026 15:30,7707,5,1,1,0
3/26/2026 15:15,3/26/2026 15:30,7707,6,1,2,0
3/26/2026 15:30,3/26/2026 15:45,7707,3,0,0,0
3/26/2026 15:30,3/26/2026 15:45,7707,4,0,0,0
3/26/2026 15:30,3/26/2026 15:45,7707,5,0,0,0
3/26/2026 15:30,3/26/2026 15:45,7707,6,0,0,0
3/26/2026 15:45,3/26/2026 16:00,7707,3,0,0,0
3/26/2026 15:45,3/26/2026 16:00,7707,4,0,0,0
3/26/2026 15:45,3/26/2026 16:00,7707,5,0,0,0
3/26/2026 15:45,3/26/2026 16:00,7707,6,0,0,0
3/26/2026 16:00,3/26/2026 16:15,7707,3,1,0,0
3/26/2026 16:00,3/26/2026 16:15,7707,4,0,0,0
3/26/2026 16:00,3/26/2026 16:15,7707,5,0,0,0
3/26/2026 16:00,3/26/2026 16:15,7707,6,1,1,0
3/26/2026 16:15,3/26/2026 16:30,7707,3,0,0,0
3/26/2026 16:15,3/26/2026 16:30,7707,4,1,1,0
3/26/2026 16:15,3/26/2026 16:30,7707,5,0,0,0
3/26/2026 16:15,3/26/2026 16:30,7707,6,1,1,0
3/26/2026 16:30,3/26/2026 16:45,7707,3,0,0,0
3/26/2026 16:30,3/26/2026 16:45,7707,4,0,0,0
3/26/2026 16:30,3/26/2026 16:45,7707,5,0,0,0
3/26/2026 16:30,3/26/2026 16:45,7707,6,0,0,0
3/26/2026 16:45,3/26/2026 17:00,7707,3,0,0,0
3/26/2026 16:45,3/26/2026 17:00,7707,4,0,0,0
3/26/2026 16:45,3/26/2026 17:00,7707,5,0,0,0
3/26/2026 16:45,3/26/2026 17:00,7707,6,0,0,0
3/26/2026 17:00,3/26/2026 17:15,7707,3,1,1,0
3/26/2026 17:00,3/26/2026 17:15,7707,4,0,0,0
3/26/2026 17:00,3/26/2026 17:15,7707,5,0,0,0
3/26/2026 17:00,3/26/2026 17:15,7707,6,1,1,0
3/26/2026 17:15,3/26/2026 17:30,7707,3,0,0,0
3/26/2026 17:15,3/26/2026 17:30,7707,4,1,0,0
3/26/2026 17:15,3/26/2026 17:30,7707,5,0,0,0
3/26/2026 17:15,3/26/2026 17:30,7707,6,0,0,0
3/26/2026 17:30,3/26/2026 17:45,7707,3,0,0,0
3/26/2026 17:30,3/26/2026 17:45,7707,4,0,0,0
3/26/2026 17:30,3/26/2026 17:45,7707,5,0,0,0
3/26/2026 17:30,3/26/2026 17:45,7707,6,1,3,0
3/26/2026 17:45,3/26/2026 18:00,7707,3,1,1,0
3/26/2026 17:45,3/26/2026 18:00,7707,4,0,0,0
3/26/2026 17:45,3/26/2026 18:00,7707,5,0,0,0
3/26/2026 17:45,3/26/2026 18:00,7707,6,0,0,0
3/26/2026 18:00,3/26/2026 18:15,7707,3,0,0,0
3/26/2026 18:00,3/26/2026 18:15,7707,4,0,0,0
3/26/2026 18:00,3/26/2026 18:15,7707,5,0,0,0
3/26/2026 18:00,3/26/2026 18:15,7707,6,1,1,0
3/26/2026 18:15,3/26/2026 18:30,7707,3,0,0,0
3/26/2026 18:15,3/26/2026 18:30,7707,4,1,1,0
3/26/2026 18:15,3/26/2026 18:30,7707,5,1,1,0
3/26/2026 18:15,3/26/2026 18:30,7707,6,1,1,0
3/26/2026 18:30,3/26/2026 18:45,7707,3,0,0,0
3/26/2026 18:30,3/26/2026 18:45,7707,4,0,0,0
3/26/2026 18:30,3/26/2026 18:45,7707,5,0,0,0
3/26/2026 18:30,3/26/2026 18:45,7707,6,0,0,0
3/26/2026 18:45,3/26/2026 19:00,7707,3,1,1,0
3/26/2026 18:45,3/26/2026 19:00,7707,4,0,0,0
3/26/2026 18:45,3/26/2026 19:00,7707,5,0,0,0
3/26/2026 18:45,3/26/2026 19:00,7707,6,0,0,0
3/26/2026 19:00,3/26/2026 19:15,7707,3,0,0,0
3/26/2026 19:00,3/26/2026 19:15,7707,4,0,0,0
3/26/2026 19:00,3/26/2026 19:15,7707,5,0,0,0
3/26/2026 19:00,3/26/2026 19:15,7707,6,1,1,0
3/26/2026 19:15,3/26/2026 19:30,7707,3,0,0,0
3/26/2026 19:15,3/26/2026 19:30,7707,4,1,1,0
3/26/2026 19:15,3/26/2026 19:30,7707,5,0,0,0
3/26/2026 19:15,3/26/2026 19:30,7707,6,0,0,0
3/26/2026 19:30,3/26/2026 19:45,7707,3,0,0,0
